actual_sex	Rx	Ry
male	0.479	0.1065
male	0.479	0.123
male	0.4789	0.1101
male	0.4788	0.1227
male	0.4788	0.1229
male	0.4788	0.1258
male	0.4788	0.2105
male	0.4787	0.1667
male	0.4786	0.1227
male	0.4786	0.1237
male	0.4786	0.125
male	0.4786	0.3
male	0.4785	0.1217
male	0.4785	0.1522
male	0.4785	0.1667
male	0.4784	0.1195
male	0.4784	0.1203
male	0.4784	0.1223
male	0.4784	0.1275
male	0.4783	0.1257
male	0.4783	0.1332
male	0.4782	0.1034
male	0.4782	0.1251
male	0.4781	0.1212
male	0.4781	0.1244
male	0.4781	0.1269
male	0.4781	0.1631
male	0.478	0.1213
male	0.478	0.1218
male	0.478	0.122
male	0.478	0.1222
male	0.478	0.125
male	0.478	0.1256
male	0.478	0.1304
male	0.4779	0.1232
male	0.4779	0.1454
male	0.4778	0.1224
male	0.4778	0.1226
male	0.4778	0.125
male	0.4778	0.1251
male	0.4778	0.13
male	0.4776	0.0935
male	0.4776	0.1215
male	0.4776	0.1221
male	0.4776	0.1226
male	0.4776	0.1228
male	0.4776	0.1243
male	0.4776	0.1249
male	0.4776	0.1251
male	0.4775	0.1213
male	0.4775	0.1454
male	0.4774	0.1106
male	0.4774	0.1265
male	0.4774	0.1304
male	0.4773	0.1206
male	0.4773	0.1225
male	0.4772	0.1203
male	0.4772	0.1216
male	0.4772	0.1219
male	0.4772	0.123
male	0.4772	0.1236
male	0.4771	0.1067
male	0.4771	0.1222
male	0.4771	0.123
male	0.4771	0.1242
male	0.4771	0.1291
male	0.4771	0.1308
male	0.4771	0.15
male	0.477	0.1171
male	0.477	0.1203
male	0.477	0.1207
male	0.477	0.123
male	0.477	0.2
male	0.4769	0.1222
male	0.4769	0.1232
male	0.4769	0.1233
male	0.4768	0.1234
male	0.4768	0.1255
male	0.4767	0.1116
male	0.4767	0.1193
male	0.4767	0.1224
male	0.4767	0.1255
male	0.4767	0.1273
male	0.4766	0.1144
male	0.4766	0.1199
male	0.4766	0.1233
male	0.4766	0.1238
male	0.4766	0.124
male	0.4765	0.1166
male	0.4765	0.1211
male	0.4765	0.1244
male	0.4764	0.1183
male	0.4764	0.1335
male	0.4763	0.1246
male	0.4762	0.1179
male	0.4762	0.1216
male	0.4762	0.1222
male	0.4762	0.1223
male	0.4762	0.1299
male	0.476	0.1146
male	0.476	0.1147
male	0.476	0.1204
male	0.476	0.1225
male	0.476	0.1236
male	0.476	0.1246
male	0.4759	0.1126
male	0.4759	0.1223
male	0.4759	0.1276
male	0.4758	0.1178
male	0.4758	0.1234
male	0.4758	0.1249
male	0.4758	0.1274
male	0.4757	0.1237
male	0.4757	0.1239
male	0.4757	0.124
